,name,degree,betweenness,closeness,sum
6988,F1,0.13297823491597024,2.4935454594058222e-05,0.1325100201038563,0.26551319047442057
6995,redbullracing,0.07484617503903021,0.0,0.07243422495776691,0.14728039999679712
6987,F1_Jordan,0.055744329139498575,0.0,0.05480231849051019,0.11054664763000877
7223,McLarenF1,0.006061162641197539,0.0,0.07016613392029246,0.07622729656149
10261,lawrobarretto,0.003581596106162182,0.0,0.06892056404500539,0.07250216015116757
6997,Max33Verstappen,0.03407108090733768,0.0,0.032886572897905995,0.06695765380524368
7070,fia,0.014234548627054826,0.0,0.01710197697969393,0.03133652560674876
9761,MrNickKnowles,0.008999908164202406,1.5857026035684787e-06,0.011704284096502331,0.020705777963308306
7029,RobLMyers,0.0076223712002938745,4.268463994215717e-06,0.007925392151868896,0.015552031816156987
7031,Independent,0.006244834236385343,0.0,0.009257286932004536,0.015502121168389879
7141,HillF1,0.007714206997887776,2.4572767296433515e-06,0.007259453831489057,0.014976118106106478
7039,SkySportsF1,0.00743869960510607,0.0,0.007513837984955626,0.014952537590061696
7033,GaryLineker,0.005601983653228029,0.0,0.007796788025181519,0.013398771678409548
7059,SirLewisUpdates,0.006061162641197539,3.836894225336707e-06,0.005495493207081908,0.011560492742504784
7161,TopGearFormula1,0.00569381945082193,0.0,0.00569381945082193,0.01138763890164386
7226,DExpress_Sport,0.002663238130223161,0.0,0.008682323913587751,0.011345562043810912
7122,formularacers_,0.005418312058040224,0.0,0.005419817562918813,0.010838129620959036
7027,Oracle,0.004316282486913399,0.0,0.004323485294567823,0.008639767781481221
7485,JimmyBroadbent,0.002663238130223161,0.0,0.005016646397856794,0.0076798845280799544
7980,Motor_Sport,0.001928551749471944,0.0,0.005045922944719896,0.00697447469419184
7979,tony_jardine,0.0018367159518780421,0.0,0.0049728323326952185,0.006809548284573261
7285,reetah__,0.003397924510974378,0.0,0.0033257678128648833,0.006723692323839261
7045,LewisHamilton,0.0033060887133804758,0.0,0.0032552258100976995,0.006561314523478175
7144,jfjabbo,0.006244834236385343,1.3832724839639917e-06,9.18357975939021e-05,0.006338053306463209
7295,laptimedeIeted,0.002846909725410965,0.0,0.002849692628368356,0.005696602353779321
8655,adilray,0.0014693727615024336,0.0,0.004018957749951925,0.005488330511454359
7981,SportmphMark,0.0011020295711268251,0.0,0.004284195280525168,0.005386224851651994
7727,SebbyHaughtonf1,0.0001836715951878042,0.0,0.0050495667944189075,0.005233238389606712
10685,LukeM_29,9.18357975939021e-05,0.0,0.005036750635042209,0.005128586432636111
7689,JackDunc1,0.0012857011663146294,0.0,0.003813296767907717,0.005098997934222346
7095,swiftsambi,0.0025714023326292587,1.0900299634813816e-06,0.002295894939847553,0.004868387302440293
7308,EliGP,0.0023877307374414545,0.0,0.0023877307374414545,0.004775461474882909
6999,cryptocom,0.0023877307374414545,0.0,0.0023877307374414545,0.004775461474882909
7899,MercedesAMGF1,0.0022958949398475524,0.0,0.0022992962656843636,0.004595191205531916
7007,Jengo37,0.0022958949398475524,0.0,0.0022992962656843636,0.004595191205531916
7021,SilverArrowsNet,0.0022958949398475524,0.0,0.0022992962656843636,0.004595191205531916
7590,swazzle2000,0.0031224171181926715,5.769258408727869e-06,0.0013438250888424157,0.004472011465443815
7222,LandoNorris,0.0022040591422536502,0.0,0.0022075912883149544,0.004411650430568605
7055,AmandaDemir,0.0021122233446597485,0.0,0.0021122233446597485,0.004224446689319497
7147,prudydear,0.0020203875470658464,5.18727181486497e-07,0.0021813368830551597,0.004202243157302493
7198,Merlintrader,0.0036734319037560843,3.3701803384708076e-06,0.0003749961735084336,0.004051798257602988
7827,tariqpanja,0.0014693727615024336,0.0,0.0023886490954173937,0.0038580218569198273
8162,sean82621404,0.0033060887133804758,3.0603497942983845e-06,0.00044999540821012024,0.003759144471384894
7114,wtf1official,0.00174488015428414,0.0,0.001824048945313366,0.003568929099597506
7259,JaredMymind,0.001928551749471944,8.167493020153245e-07,0.0015512803647618598,0.003480648863535819
8027,mollyellenF1,0.00174488015428414,0.0,0.0016874827807879511,0.0034323629350720914
7197,TeamLHTobey,0.0020203875470658464,1.2567536592111879e-06,0.0013829390696493494,0.003404583370374407
7050,Zoom,0.00174488015428414,3.289489443572908e-07,0.0016530443566902379,0.0033982534599187354
7073,stefxnrhys,0.0016530443566902379,0.0,0.001657636146569933,0.003310680503260171
7049,NorthHertsSam,0.0016530443566902379,0.0,0.0016530443566902379,0.0033060887133804758
7163,TwommoF1,0.0016530443566902379,0.0,0.0015918204916276363,0.0032448648483178744
7344,FormulaReaction,0.00174488015428414,0.0,0.001394756175957388,0.003139636330241528
7150,SkySportsNews,0.0012857011663146294,0.0,0.0018412622784916015,0.003126963444806231
7601,sidneylandsam,0.0016530443566902379,8.181550667348001e-07,0.0014717275255433028,0.0031255900373002754
7592,LeBluetifulGame,0.0016530443566902379,3.930518155653782e-06,0.0014346240813317682,0.0030915989561776597
7379,fiagirly,0.0014693727615024336,0.0,0.001565201419861288,0.0030345741813637217
7188,tiff_tv,0.0011020295711268251,0.0,0.0018837017087865498,0.0029857312799133747
9219,eagertogo,0.0008265221783451189,0.0,0.001957552527659492,0.0027840747060046108
7177,cauterize1750,0.0013775369639085315,0.0,0.0013829390696493494,0.002760476033557881
8026,neilodon1963,0.002663238130223161,0.0,0.0,0.002663238130223161
6991,QuickStopF1,0.0011938653687207272,0.0,0.0014086812778751592,0.0026025466465958865
7135,valfromrome,0.0011938653687207272,0.0,0.001388032483633549,0.0025818978523542762
7958,f1losophy,0.0012857011663146294,0.0,0.0012857011663146294,0.0025714023326292587
7158,ScarbsTech,0.0013775369639085315,3.45818120990998e-07,0.001108589270954961,0.0024864720529844835
7585,talkRADIO,0.0011938653687207272,0.0,0.0011938653687207272,0.0023877307374414545
6986,wbuxtonofficial,0.0008265221783451189,0.0,0.0015410801651031516,0.0023676023434482706
8022,MollyFS44,0.0010101937735329232,2.4375960235706934e-06,0.0013106442224512448,0.0023232755920077385
7409,greavc,0.0022958949398475524,0.0,0.0,0.0022958949398475524
7233,f1fantwo,0.001928551749471944,1.4085762489145529e-06,0.0003461503140077848,0.0022761106397286433
7110,Motorsport,0.0011938653687207272,0.0,0.0010798112329992683,0.0022736766017199955
7558,Ben_Sulayem,0.0011020295711268251,0.0,0.0011444153238624724,0.0022464448949892973
6989,BradleyPhilpot,0.0010101937735329232,4.807715340606558e-07,0.0012202549657304694,0.0022309295107974534
7273,AdamCLedet,0.0007346863807512168,0.0,0.0014703394541086853,0.002205025834859902
